nominal;data;curs;rub;
100;04.06.20;92.9192;0.929192;928
100;05.06.20;93.8984;0.938984;927
100;06.06.20;92.8371;0.928371;926
100;09.06.20;91.9892;0.919892;925
100;10.06.20;92.5237;0.925237;924
100;11.06.20;92.5657;0.925657;923
100;12.06.20;92.9530;0.92953;922
100;16.06.20;94.0994;0.940994;921
100;17.06.20;93.1259;0.931259;920
100;18.06.20;92.7666;0.927666;919
100;19.06.20;93.1286;0.931286;918
100;20.06.20;92.8919;0.928919;917
100;23.06.20;92.7205;0.927205;916
100;24.06.20;91.7600;0.9176;915
100;25.06.20;91.7655;0.917655;914
100;26.06.20;92.7020;0.92702;913
100;27.06.20;91.9878;0.919878;912
100;30.06.20;92.6883;0.926883;911
100;01.07.20;92.6665;0.926665;910
100;02.07.20;92.6668;0.926668;909
100;03.07.20;92.7892;0.927892;908
100;04.07.20;89.4505;0.894505;907
100;07.07.20;90.4767;0.904767;906
100;08.07.20;93.4419;0.934419;905
100;09.07.20;91.6660;0.91666;904
100;10.07.20;90.8093;0.908093;903
100;11.07.20;91.5260;0.91526;902
100;14.07.20;90.9038;0.909038;901
100;15.07.20;91.5066;0.915066;900
100;16.07.20;91.3113;0.913113;899
100;17.07.20;91.7360;0.91736;898
100;18.07.20;92.5662;0.925662;897
100;21.07.20;92.7628;0.927628;896
100;22.07.20;91.4913;0.914913;895
100;23.07.20;91.2609;0.912609;894
100;24.07.20;91.8615;0.918615;893
100;25.07.20;93.5595;0.935595;892
100;28.07.20;93.3416;0.933416;891
100;29.07.20;93.8293;0.938293;890
100;30.07.20;94.2405;0.942405;889
100;31.07.20;95.5156;0.955156;888
100;01.08.20;95.6287;0.956287;887
100;04.08.20;96.5827;0.965827;886
100;05.08.20;95.4602;0.954602;885
100;06.08.20;95.3433;0.953433;884
100;07.08.20;94.9801;0.949801;883
100;08.08.20;95.4473;0.954473;882
100;11.08.20;95.7157;0.957157;881
100;12.08.20;94.4540;0.94454;880
100;13.08.20;94.3360;0.94336;879
100;14.08.20;94.5088;0.945088;878
100;15.08.20;94.1076;0.941076;877
100;18.08.20;93.3391;0.933391;876
100;19.08.20;94.3303;0.943303;875
100;20.08.20;94.0261;0.940261;874
100;21.08.20;94.6997;0.946997;873
100;22.08.20;95.2885;0.952885;872
100;25.08.20;95.4082;0.954082;871
100;26.08.20;95.6516;0.956516;870
100;27.08.20;96.8739;0.968739;869
100;28.08.20;96.2001;0.962001;868
100;29.08.20;95.1240;0.95124;867
100;01.09.20;94.0231;0.940231;866
100;02.09.20;93.7441;0.937441;865
100;03.09.20;94.3581;0.943581;864
100;04.09.20;96.3932;0.963932;863
100;05.09.20;95.5124;0.955124;862
100;08.09.20;95.9774;0.959774;861
100;09.09.20;96.4540;0.96454;860
100;10.09.20;96.5925;0.965925;859
100;11.09.20;95.7255;0.957255;858
100;12.09.20;94.7970;0.94797;857
100;15.09.20;94.6356;0.946356;856
100;16.09.20;95.1123;0.951123;855
100;17.09.20;94.8453;0.948453;854
100;18.09.20;95.4240;0.95424;853
100;19.09.20;94.9928;0.949928;852
100;22.09.20;96.1636;0.961636;851
100;23.09.20;96.3019;0.963019;850
100;24.09.20;96.2959;0.962959;849
100;25.09.20;97.2311;0.972311;848
100;26.09.20;96.7779;0.967779;847
100;29.09.20;98.9240;0.98924;846
10;30.09.20;10.0198;1.00198;845
100;01.10.20;98.9419;0.989419;844
100;02.10.20;97.0490;0.97049;843
100;03.10.20;98.2094;0.982094;842
100;06.10.20;98.2554;0.982554;841
100;07.10.20;98.5787;0.985787;840
100;08.10.20;98.0516;0.980516;839
100;09.10.20;97.8301;0.978301;838
100;10.10.20;96.7160;0.96716;837
100;13.10.20;96.7104;0.967104;836
100;14.10.20;97.0388;0.970388;835
100;15.10.20;96.9766;0.969766;834
100;16.10.20;97.7889;0.977889;833
100;17.10.20;97.4555;0.974555;832
100;20.10.20;97.4051;0.974051;831
100;21.10.20;95.0549;0.950549;830
100;22.10.20;94.8296;0.948296;829
100;23.10.20;95.3651;0.953651;828
100;24.10.20;94.6720;0.94672;827
100;27.10.20;94.7768;0.947768;826
100;28.10.20;94.7833;0.947833;825
100;29.10.20;95.5927;0.955927;824
100;30.10.20;96.5407;0.965407;823
100;31.10.20;97.1067;0.971067;822
100;03.11.20;98.4696;0.984696;821
100;04.11.20;97.7677;0.977677;820
100;06.11.20;93.5007;0.935007;819
100;07.11.20;92.0268;0.920268;818
100;10.11.20;91.7798;0.917798;817
100;11.11.20;91.1196;0.911196;816
100;12.11.20;90.8924;0.908924;815
100;13.11.20;91.6466;0.916466;814
100;14.11.20;91.8636;0.918636;813
100;17.11.20;90.6781;0.906781;812
100;18.11.20;89.8922;0.898922;811
100;19.11.20;89.5076;0.895076;810
100;20.11.20;89.9327;0.899327;809
100;21.11.20;89.6271;0.896271;808
100;24.11.20;89.3142;0.893142;807
100;25.11.20;89.3787;0.893787;806
100;26.11.20;88.9828;0.889828;805
100;27.11.20;88.9476;0.889476;804
100;28.11.20;89.4298;0.894298;803
100;01.12.20;89.8313;0.898313;802
100;02.12.20;89.9745;0.899745;801
100;03.12.20;89.1404;0.891404;800
100;04.12.20;88.6512;0.886512;799
100;05.12.20;87.5395;0.875395;798
100;08.12.20;87.5316;0.875316;797
100;09.12.20;86.8412;0.868412;796
100;10.12.20;86.4177;0.864177;795
100;11.12.20;86.9014;0.869014;794
100;12.12.20;86.1982;0.861982;793
100;15.12.20;85.9716;0.859716;792
100;16.12.20;86.5590;0.86559;791
100;17.12.20;88.4371;0.884371;790
100;18.12.20;87.3705;0.873705;789
100;19.12.20;88.1459;0.881459;788
100;22.12.20;92.4993;0.924993;787
100;23.12.20;93.4546;0.934546;786
100;24.12.20;93.0621;0.930621;785
100;25.12.20;92.2233;0.922233;784
100;26.12.20;88.0746;0.880746;783
100;29.12.20;88.1050;0.88105;782
100;30.12.20;89.0251;0.890251;781
100;31.12.20;89.1537;0.891537;780
100;01.01.21;89.3546;0.893546;779
100;12.01.21;89.6651;0.896651;778
100;13.01.21;89.2485;0.892485;777
100;14.01.21;88.3597;0.883597;776
100;15.01.21;88.0126;0.880126;775
100;16.01.21;87.0079;0.870079;774
100;19.01.21;87.5334;0.875334;773
100;20.01.21;87.0417;0.870417;772
100;21.01.21;86.4766;0.864766;771
100;22.01.21;86.4928;0.864928;770
100;23.01.21;87.9526;0.879526;769
100;26.01.21;88.2806;0.882806;768
100;27.01.21;89.1734;0.891734;767
100;28.01.21;88.4726;0.884726;766
100;29.01.21;89.8336;0.898336;765
100;30.01.21;89.8920;0.89892;764
100;02.02.21;89.0107;0.890107;763
100;03.02.21;89.4845;0.894845;762
100;04.02.21;89.6918;0.896918;761
100;05.02.21;89.2793;0.892793;760
100;06.02.21;88.5508;0.885508;759
100;09.02.21;87.5429;0.875429;758
100;10.02.21;87.3818;0.873818;757
100;11.02.21;87.1887;0.871887;756
100;12.02.21;87.5702;0.875702;755
100;13.02.21;87.7942;0.877942;754
100;16.02.21;86.7179;0.867179;753
100;17.02.21;86.7415;0.867415;752
100;18.02.21;87.3941;0.873941;751
100;19.02.21;87.3702;0.873702;750
100;20.02.21;87.4668;0.874668;749
100;21.02.21;87.3475;0.873475;748
100;25.02.21;87.1028;0.871028;747
100;26.02.21;86.8033;0.868033;746
100;27.02.21;87.8764;0.878764;745
100;02.03.21;87.3405;0.873405;744
100;03.03.21;87.9317;0.879317;743
100;04.03.21;86.6572;0.866572;742
100;05.03.21;86.9844;0.869844;741
100;06.03.21;87.7401;0.877401;740
100;10.03.21;87.5474;0.875474;739
100;11.03.21;87.2825;0.872825;738
100;12.03.21;86.6463;0.866463;737
100;13.03.21;86.6565;0.866565;736
100;16.03.21;86.3305;0.863305;735
100;17.03.21;86.0124;0.860124;734
100;18.03.21;86.1774;0.861774;733
100;19.03.21;86.8353;0.868353;732
100;20.03.21;87.4000;0.874;731
100;23.03.21;87.9535;0.879535;730
100;24.03.21;88.8377;0.888377;729
100;25.03.21;89.7749;0.897749;728
100;26.03.21;89.7991;0.897991;727
100;27.03.21;89.3081;0.893081;726
100;30.03.21;89.3927;0.893927;725
100;31.03.21;89.2648;0.892648;724
100;01.04.21;89.1882;0.891882;723
100;02.04.21;89.3720;0.89372;722
100;03.04.21;89.6806;0.896806;721
100;06.04.21;90.3081;0.903081;720
100;07.04.21;90.0437;0.900437;719
100;08.04.21;91.6857;0.916857;718
100;09.04.21;90.9060;0.90906;717
100;10.04.21;90.9734;0.909734;716
100;13.04.21;91.3893;0.913893;715
100;14.04.21;91.0716;0.910716;714
100;15.04.21;89.2289;0.892289;713
100;16.04.21;90.7501;0.907501;712
100;17.04.21;89.0885;0.890885;711
100;20.04.21;89.8876;0.898876;710
100;21.04.21;89.6193;0.896193;709
100;22.04.21;90.5603;0.905603;708
100;23.04.21;90.1001;0.901001;707
100;24.04.21;88.5203;0.885203;706
100;27.04.21;88.1421;0.881421;705
100;28.04.21;88.3653;0.883653;704
100;29.04.21;88.3471;0.883471;703
100;30.04.21;87.6869;0.876869;702
100;01.05.21;88.2325;0.882325;701
100;05.05.21;88.7196;0.887196;700
100;06.05.21;88.2609;0.882609;699
100;07.05.21;87.9253;0.879253;698
100;08.05.21;87.3980;0.87398;697
100;12.05.21;87.5125;0.875125;696
100;13.05.21;87.3477;0.873477;695
100;14.05.21;87.8022;0.878022;694
100;15.05.21;87.3773;0.873773;693
100;18.05.21;87.2475;0.872475;692
100;19.05.21;87.4009;0.874009;691
100;20.05.21;87.4233;0.874233;690
100;21.05.21;87.6149;0.876149;689
100;22.05.21;87.6036;0.876036;688
100;25.05.21;87.7322;0.877322;687
100;26.05.21;87.7379;0.877379;686
100;27.05.21;88.2262;0.882262;685
100;28.05.21;88.4606;0.884606;684
100;29.05.21;88.2232;0.882232;683
100;01.06.21;87.6199;0.876199;682
100;02.06.21;87.5633;0.875633;681
100;03.06.21;87.0837;0.870837;680
100;04.06.21;86.6955;0.866955;679
100;05.06.21;86.5075;0.865075;678
100;08.06.21;86.1036;0.861036;677
100;09.06.21;86.0236;0.860236;676
100;10.06.21;85.1460;0.85146;675
100;11.06.21;85.3876;0.853876;674
100;12.06.21;84.8280;0.84828;673
100;16.06.21;84.7735;0.847735;672
100;17.06.21;85.1646;0.851646;671
100;18.06.21;85.7008;0.857008;670
100;19.06.21;85.3006;0.853006;669
100;22.06.21;86.5238;0.865238;668
100;23.06.21;86.5397;0.865397;667
100;24.06.21;85.9034;0.859034;666
100;25.06.21;85.4157;0.854157;665
100;26.06.21;85.2163;0.852163;664
100;29.06.21;85.2281;0.852281;663
100;30.06.21;85.4706;0.854706;662
100;01.07.21;85.8689;0.858689;661
100;02.07.21;86.0501;0.860501;660
100;03.07.21;86.8057;0.868057;659
100;06.07.21;86.4946;0.864946;658
100;07.07.21;86.3908;0.863908;657
100;08.07.21;87.3160;0.87316;656
100;09.07.21;88.6452;0.886452;655
100;10.07.21;87.7907;0.877907;654
100;13.07.21;88.0666;0.880666;653
100;14.07.21;87.3276;0.873276;652
100;15.07.21;87.4482;0.874482;651
100;16.07.21;87.5766;0.875766;650
100;17.07.21;87.4703;0.874703;649
100;20.07.21;87.6640;0.87664;648
100;21.07.21;87.8347;0.878347;647
100;22.07.21;87.8390;0.87839;646
100;23.07.21;86.9803;0.869803;645
100;24.07.21;87.3889;0.873889;644
100;27.07.21;87.9092;0.879092;643
100;28.07.21;87.4580;0.87458;642
